Complexes(Gene name)	Fitness-score
UGT2B15;UGT2A1;UGT2A3	1.47263128924
GCKR;GCK	1.46430224531
ACSM2B;ACSM2A	1.45409305536
OR2T33;OR2T12	1.44857021068
OBP2A;OBP2B	1.43948384694
LEFTY2;LEFTY1	1.43228098822
GMPR;GMPR2	1.40396453539
NOVA2;NOVA1	1.37529330697
TERB2;MAJIN	1.34401393456
UGT2B11;UGT2B10;UGT2B28	1.3413047025
ABCC8;ABCC9	1.32873189195
ABCC12;ABCC11	1.3011630257
IFNL2;IFNL1	1.30014825088
FOLR3;FOLR2	1.28015163278
CXCL3;CXCL1;CXCL2	1.27762310663
OR4A15;OR4D2	1.27732877537
DCAF12L1;DCAF12L2	1.27062403214
WNT3A;WNT3	1.24302476469
GABRG2;GABRG1	1.22449387046
TRPC3;TRPC7	1.22320194432
PDE1B;PDE1C;PDE1A	1.21660528334
CT45A10;CT45A1	1.21393041682
DDX43;DDX53	1.21099152719
STEAP1B;STEAP1	1.18834182541
TPH1;TPH2	1.17988151192
GUCY2D;GUCY2F	1.14107129254
ELFN2;ELFN1	1.13426532169
PACRG;MEIG1	1.12894545652
GRM7;GRM4	1.12893552027
PDE6B;PDE6A	1.12030308065
EOMES;OTP	1.1015947524
FGF20;FGF9	1.09449483096
TAGLN2;TAGLN3	1.09017832797
CYP3A5;CYP3A4;CYP3A7	1.08575411282
PRSS1;PRSS3;PRSS3P2	1.0807551788
CRYGB;CRYGC	1.05604862353
REG1A;REG1B	1.05195924
ALDOC;ALDOA;ALDOB	1.04027493848
C1R;C1S	1.02376783944
CYP3A4;CYP3A5	1.0230913839
CYP4F8;CYP4F12;CYP4F2	1.02214473993
PENK;PDYN	1.02179381888
ADH1A;ADH1B	1.01415922917
LILRA1;LILRB1;LILRA3	1.01006720129
ENO3;ENO1;ENO2	0.989878948513
CYP3A7;CYP3A5	0.989766131454
ZNF534;AGAP1	0.981931286919
CYP2C18;CYP2C19;CYP2C9;CYP2C8	0.980905501793
PNLIP;PNLIPRP2	0.979716937963
PCDHA11;PCDHA10;PCDHAC1;PCDHA13;PCDHA6;PCDHA3;PCDHA8;PCDHA2;PCDHA4;PCDHA7;PCDHA12;PCDHA9;PCDHA1	0.964219723366
GH1;CSH1;CSHL1	0.962872425049
PCDHAC1;PCDHA10;PCDHA13;PCDHA6;PCDHA3;PCDHA8;PCDHA11;PCDHA2;PCDHA4;PCDHA7;PCDHA12;PCDHA9	0.944486338843
BCL9L;PYGO2	0.942749033537
CASP1;CARD16	0.942725670675
VNN3;VNN1	0.942195488212
IFNA17;IFNA21;IFNA6;IFNA14;IFNA13;IFNA5;IFNA4	0.940137886504
ARPC5L;ARPC1B;ARPC2;ARPC5;ARPC4;ARPC3;ARPC1A;ACTR3;ACTR2	0.939310492121
CYP2C19;CYP2C9;CYP2C18	0.937728858498
TSACC;LIX1	0.93652428366
TLR1;TLR6	0.929785365594
SLCO1B1;SLCO1B3	0.924040853788
LIAT1;AGBL3	0.91577108225
GRIN3B;GRIN3A	0.911672645307
PCDHA3;PCDHAC1;PCDHA13;PCDHA6;PCDHA8;PCDHA11;PCDHA4;PCDHA2;PCDHA7;PCDHA12;PCDHA9;PCDHA1	0.911354292668
NFIA;NFIB;NFIX;NFIB	0.909809259505
PANK3;PANK1	0.909007910789
PRELID3A;PRELID3B;TRIAP1	0.908549925344
RIMS1;RIMS2	0.898996949287
EIF3G;EIF3C;EIF3K;EIF3I;EIF3CL;EIF3L;EIF3F;EIF3D;EIF3B;EIF3H;EIF3M;EIF3E	0.898341432617
SIGLEC16;SIGLEC10	0.898121498764
TOMM6;TOMM7;TOMM5;TOMM40L	0.897172979402
SEPTIN8;SEPTIN2;SEPTIN12;SEPTIN7;SEPTIN4;SEPTIN6;SEPTIN11;SEPTIN1;SEPTIN9;SEPTIN3;SEPTIN5;SEPTIN14	0.89657981508
CPEB3;CPEB2	0.895084047042
EIF2S3;EIF2S1	0.894064659585
NFIB;NFIA;NFIX	0.889736253865
NR0B1;NR5A1	0.889099704906
ARPC4;ARPC3;ARPC1B;ARPC2;ARPC5;ACTR3;ARPC5L;ACTR2	0.88385145288
IFNA21;IFNA17;IFNA6;IFNA14;IFNA13;IFNA4	0.883458705227
LDHA;LDHB;LDHAL6A	0.882634373547
SULT2A1;SULT1B1	0.882439740342
CYP2C8;CYP2C9;CYP2C18	0.880086344218
FMO4;FMO1	0.879392491225
SEPTIN2;SEPTIN12;SEPTIN7;SEPTIN4;SEPTIN6;SEPTIN11;SEPTIN1;SEPTIN9;SEPTIN8;SEPTIN3;SEPTIN5	0.878831107725
SEPTIN9;SEPTIN2;SEPTIN1;SEPTIN7;SEPTIN6;SEPTIN4;SEPTIN11;SEPTIN8;SEPTIN3;SEPTIN14;SEPTIN5	0.875201679408
MRPL47;MRPL33;MRPL53;MRPL34;MRPL14;MRPL43;MRPL54;MRPL39;MRPL49;MRPL50;MRPL37;MRPL18;MRPL21;MRPL30;MRPL23;MRPL22;MRPL12;MRPL4;MRPL13;MRPL48;MRPL38;MRPL32;MRPL9;MRPL11;MRPL35;MRPL28;MRPL55;MRPL17;MRPL41;MRPL27;MRPL51;MRPL46;MRPL3;MRPL10;MRPS18A;MRPL15;MRPL52;MRPL24;MRPL45;MRPL20;MRPS30;MRPL42;MRPL2;MRPL58;MRPL16;MRPL57;MRPS14;MRPL19;MRPS33;MRPS25;MRPL1;MRPS17;MRPS21;MRPS18C;MRPS10;MRPS7;MRPS34;MRPS2;MRPS24;MRPS11;MRPS22;MRPS16;MRPS35;MRPL40;MRPS5;MRPS6;MRPS23;MRPS28;MRPS9;MRPL44	0.874768312811
OR52B2;OR5C1	0.87411866525
