UniProt1	UniProt2	Weight
Q15836	O60885	0
Q99459	O43739	0
O43524	O00257	0
Q7L8L6	Q16342	0
Q5XPI4	Q00839	0
O94927	Q9HCU9	0
Q13501	Q15572	0
Q9Y6W5	Q9P2Y5	0
Q86XI2	O15078	0
Q9Y6K9	P05386	0
P84243	Q96ST3	0
O00425	Q9NQB0	0
Q9NYY8	Q13098	0
Q99871	P49757	0
P39019	Q9UIF9	0
Q8WUI4	P15056	0
O75161	Q92547	0
Q9Y2W2	Q9Y6H5	0
Q5HYA8	Q71U36	0
Q86YF9	O95347	0
Q15831	O43719	0
Q9H8E8	O43172	0
P17301	Q9NQB0	0
O75461	P06400	0
Q15047	Q14839	0
P62750	Q08170	0
P03905	Q86UP2	0
P08579	Q9NPE3	0
Q9Y4B6	Q13868	0
P46937	Q68EM7	0
Q8WWY3	Q04864	0
P11021	Q75QN2	0
Q9ULM6	P20226	0
Q08345	P12830	0
Q12873	Q14498	0
Q9NTJ3	Q9NWB7	0
P05496	Q6P9B9	0
Q99832	Q99459	0
P10155	Q96GC5	0
Q15022	Q9NXF1	0
O75161	O43674	0
O95295	Q92966	0
Q969H6	P50570	0
P41223	P17987	0
Q9UKM9	Q9NQS7	0
Q8IYU8	Q9NP97	0
Q14980	P62258	0
P36578	Q15427	0
O60832	O15446	0
P52435	P55196	0
Q96BD5	P05412	0
O95453	Q96A35	0
Q9NYY8	O00429	0
Q14186	Q5PSV4	0
O43292	P46531	0
Q13243	Q96A35	0
Q5H9R7	P46777	0
P78371	Q96EK2	0
Q13563	Q9UIW2	0
Q9Y618	Q8TAM2	0
O43303	Q5XPI4	0
O00471	Q9H0E3	0
Q9HBM1	P29590	0
Q8IXM3	Q96PV6	0
Q99720	Q9BWH6	0
Q5PSV4	Q15910	0
P18084	P26006	0
P48382	P04049	0
Q9Y2X7	Q6QNY1	0
P40938	P78527	0
Q15054	O15120	0
P01009	P04899	0
Q9NXF1	Q9NV31	0
Q13243	Q9UPY3	0
Q9BYC9	O15504	0
Q13596	P04899	0
Q15054	P51805	0
P16104	Q9P0U4	0
Q14137	Q96LT9	0
Q96DZ1	O75964	0
Q8TEQ6	Q9Y2J2	0
Q8N1B4	Q8TDH9	0
Q9Y2J2	P54105	0
Q6PGP7	O14920	0
Q9HBM1	P31269	0
P47756	P51946	0
Q53GS7	Q6P9B9	0
O15047	O75052	0
Q9UBB9	Q96FC9	0
Q13472	O95178	0
Q8IU81	Q04864	0
P48553	P27348	0
O95139	Q86TM6	0
Q9Y4B6	Q9H981	0
P11387	Q9NXF1	0
P68104	Q9H7D7	0
P28370	Q8WVB6	0
Q96L91	Q9Y605	0
Q09161	Q9H9J2	0
Q9Y2W1	Q6PGP7	0
P23508	O14777	0
P61586	Q00653	0
Q96GC5	P25398	0
Q9BX63	Q8TEQ6	0
Q8WVT3	P62258	0
Q12768	O43502	0
Q969G3	Q92830	0
Q9UJX3	Q9NYV4	0
P46776	Q9BRJ2	0
O95793	P46781	0
Q8WYQ5	P16104	0
O75317	O60934	0
Q8WX92	P20339	0
Q9H0U6	Q5BKZ1	0
O75052	Q92620	0
Q9UJX3	Q6P9B9	0
Q68EM7	Q12959	0
Q9BUR4	P06748	0
Q9UBB9	Q9UIG0	0
Q86VP6	O43913	0
P78371	Q92599	0
Q92878	P05412	0
O43299	Q9Y2A7	0
O15315	Q9BZD4	0
Q9Y6W5	Q9Y570	0
P57678	Q13393	0
O75317	Q5EBL8	0
Q12768	Q92600	0
O96008	Q9UPN9	0
Q14654	O15120	0
Q9H4B6	Q9NXR7	0
Q12834	Q9GZS3	0
Q96ED9	Q9Y376	0
P35269	Q7Z7F7	0
O43525	Q96Q05	0
Q9NX20	Q13769	0
Q9UHA3	Q8TEX9	0
O96017	P49756	0
Q02539	Q7Z2W9	0
Q96FC9	Q13472	0
Q13243	Q9BYD1	0
Q6WCQ1	Q13188	0
Q9Y664	Q12955	0
Q8IWZ6	P40429	0
P39023	P08621	0
Q14686	Q96T58	0
Q9BQ87	P03905	0
Q9BYD6	Q9NX24	0
Q92766	O95602	0
P49642	P48643	0
Q9BSL1	Q9UBB5	0
Q6NSJ5	P42345	0
P62701	Q9NVX0	0
Q15046	Q92616	0
Q9Y679	Q13228	0
O94927	P04049	0
Q9UHV9	Q9Y2X7	0
O75051	P35916	0
Q8TCC3	Q92831	0
Q9Y283	Q96DF8	0
Q00987	O95793	0
Q8NE86	Q7Z4H7	0
Q04864	P49756	0
P01137	Q92896	0
Q9NYK5	P49756	0
Q9BVC3	O43502	0
Q8TAG9	Q9Y2X0	0
Q96CX2	P63096	0
Q8IVT5	P35568	0
Q03164	Q9Y3Y2	0
O00566	O15504	0
Q9UBU6	P51610	0
P46937	Q15637	0
Q13557	Q99871	0
P62829	Q96RN5	0
P17181	P40189	0
Q92974	O75530	0
Q92896	Q6P9B9	0
O00471	Q9Y2X0	0
Q9Y232	P28370	0
Q9UK41	Q8N684	0
P06748	P49756	0
Q969H6	P62906	0
Q13049	Q9Y4A5	0
P40938	P55060	0
P29590	Q9UJA3	0
Q13188	Q53GS7	0
O43303	P24385	0
Q9NTJ3	O15446	0
Q9BS16	Q13535	0
Q08379	P01011	0
O00425	P62753	0
P78371	Q13769	0
P13726	Q96GD4	0
Q13131	P50613	0
Q96N67	Q9UKM9	0
Q9NPF5	P17544	0
Q13247	Q96DV4	0
O14763	O00161	0
P36897	P16144	0
O43303	Q9H0E3	0
Q8TAA9	Q05519	0
Q9UBV2	P11717	0
O43913	Q00765	0
Q9Y6H6	Q08379	0
O95782	Q9Y5P8	0
O75717	Q14181	0
Q9Y4K3	Q6P4R8	0
P17987	Q9P2K3	0
Q13111	Q7KZ85	0
Q13247	Q15573	0
O14744	P41223	0
P62244	Q8TEX9	0
Q9NUL7	Q9NZE8	0
P27635	P09001	0
Q9H4B6	P54105	0
O95793	Q96I25	0
Q63HK5	O60264	0
Q9BYC9	P54132	0
Q96HW7	Q96CW5	0
P01009	Q9UID3	0
O60306	Q01780	0
O00268	Q13123	0
Q96JG6	P51587	0
O43299	Q99741	0
P07437	Q96CB8	0
Q13889	Q14839	0
P18084	Q99741	0
Q00534	Q6R327	0
P11940	Q7Z2W9	0
P62424	Q16540	0
Q96DV4	P49756	0
O60885	O14964	0
Q9H3P2	Q8TEX9	0
Q14152	Q9HCK8	0
P62266	Q96G21	0
Q5T653	O43678	0
Q13153	Q01970	0
Q9NQ50	Q15459	0
Q14181	Q15545	0
P00395	Q86TS9	0
Q9NVC6	O43719	0
Q8TF30	Q9UL33	0
O15360	Q7Z4H7	0
Q8TCC3	Q07021	0
Q6PGP7	Q9UKV3	0
Q8TBF4	P12956	0
Q13618	O95817	0
P48382	Q00653	0
O15371	Q04864	0
Q9BYC9	O14974	0
P05164	P05412	0
Q8NHH9	Q16342	0
Q9UL03	Q92966	0
O00165	P51946	0
P08311	O75146	0
Q08170	Q9BRJ2	0
Q16514	Q9BTC8	0
P61247	Q9BRJ2	0
P17301	O75051	0
Q9NWU2	P62917	0
O75175	P49356	0
O95071	Q96BD5	0
P11021	Q9NQB0	0
Q9UNH7	O95782	0
Q9BQ48	P46782	0
P68104	Q08722	0
Q16586	Q9H0U3	0
P28676	Q96ED9	0
O43181	O96008	0
Q9HD33	Q13523	0
Q12933	Q9UBN7	0
Q9BYM8	Q9BVC3	0
Q96JG6	Q9Y375	0
Q9P0M9	P33991	0
P37173	P46531	0
Q49AN0	Q9GZS1	0
P42224	P18859	0
Q9BQG0	P33176	0
Q9H9J2	Q8WWI1	0
P40763	Q86XI2	0
O60506	Q4U2R6	0
P27540	O94776	0
O00566	P49356	0
Q13415	O43463	0
P16104	Q03188	0
P84103	Q5BKZ1	0
Q9Y232	Q15596	0
Q86VS8	Q9ULM3	0
O75052	P61201	0
Q8N1B4	P05412	0
P68104	Q9P2K3	0
O95602	P05412	0
P05556	P35916	0
P63151	Q9UBE0	0
Q9HB75	P11388	0
Q8TEX9	O95793	0
Q13227	Q9UL03	0
Q9H4B6	P52630	0
O14965	Q92974	0
Q12962	Q9NZW5	0
Q9BS16	O60271	0
Q9BQA1	Q9NYY8	0
Q8WTW3	Q8N612	0
P62857	Q9BYD2	0
Q86VS8	Q6P4R8	0
Q9BXC9	P11142	0
P05496	P61803	0
Q9UNH7	O00165	0
P49959	Q9UER7	0
Q00610	Q15459	0
Q13393	Q6IBW4	0
P50914	Q7L2E3	0
P16989	Q07955	0
Q16514	Q8NBZ0	0
P62899	Q12873	0
Q96SB4	Q9BYD3	0
O95456	O75717	0
Q16629	Q10570	0
Q68EM7	Q7Z4H7	0
P54198	Q15428	0
O95639	Q96T37	0
Q5XPI4	P40429	0
P25445	Q8TDR0	0
Q9ULH1	Q9Y2A7	0
Q13547	P78371	0
P51948	P17987	0
Q7KZN9	Q9NZ08	0
Q02153	Q13563	0
Q5HYA8	Q8WW35	0
P62487	Q9NS73	0
Q9BRD0	Q9GZS1	0
Q9NYY8	Q68E01	0
P32121	Q9H9A5	0
P42224	Q9Y6D9	0
Q07157	Q69YN4	0
P14373	O75436	0
Q7Z494	Q96DF8	0
Q9BXF3	Q92830	0
Q12933	P49642	0
Q6IPU0	P07910	0
Q6P2Q9	O95613	0
O43913	Q9UPN9	0
O95793	Q93009	0
Q4U2R6	Q8NBZ0	0
O75694	Q00610	0
Q8TEQ6	O75478	0
Q8IYU8	O43318	0
Q8IX03	Q9NRL2	0
Q08379	Q96PV6	0
P46778	Q8WYQ5	0
Q15750	Q13393	0
P23229	P17301	0
Q9NRA8	Q9UKZ1	0
Q8TAG9	O95707	0
P16989	P20226	0
Q8IZL8	Q9NYK5	0
Q641Q2	Q9BT25	0
Q8N3U4	O95707	0
P49642	Q9H9F9	0
P54105	P83111	0
P23508	Q8WUH2	0
P37088	P56556	0
P01011	Q9H7D7	0
Q15751	Q969F9	0
Q71U36	P0DMV9	0
O43395	Q9NWU5	0
O75317	Q9NTJ3	0
P06241	Q13228	0
Q86VP6	Q12769	0
P14373	P61981	0
O60306	Q2M389	0
Q8NEB9	Q8WUH2	0
Q96RN5	O43719	0
O60231	A5D8V6	0
P20226	O95793	0
Q6WCQ1	Q9BX66	0
Q5TA45	Q92888	0
Q9UKG1	Q9NX20	0
Q14573	Q16623	0
P62910	Q9BRJ2	0
Q12905	P09874	0
Q07157	P17987	0
Q14160	Q13131	0
Q9H9A5	P49642	0
Q9UPN9	Q9H981	0
O95347	Q9UG01	0
Q8N1B4	Q8TF30	0
O60231	P49757	0
Q14137	Q9BTC8	0
P18084	P13612	0
Q9ULK5	P35916	0
P31269	Q13617	0
P12931	P49736	0
P00395	P11021	0
Q75QN2	O95182	0
P62249	Q13523	0
Q8WTW3	Q8WUH2	0
Q96EX3	Q92878	0
P46777	Q9UPY3	0
Q8IZL8	O95793	0
Q9NZN8	Q8WUH2	0
Q9H8E8	Q15428	0
Q9NYY8	Q9UPN9	0
O94927	P35613	0
P25445	P11021	0
P42766	Q53T94	0
P68104	Q7Z2W9	0
P49711	Q01780	0
Q8N983	P46777	0
Q9BUR4	Q9NXB0	0
Q13619	O15355	0
O43913	Q9ULM3	0
O60341	P21802	0
P48643	Q9BVC4	0
P62979	O43390	0
P01137	P19838	0
Q13247	Q9NPE3	0
Q14457	Q9NYJ8	0
Q86XI2	P30154	0
Q13112	Q8IWY9	0
P35251	O75694	0
Q99871	Q13309	0
P10155	Q9BYD2	0
P62829	Q8TEW0	0
Q96EY7	P50914	0
P32121	Q68EM7	0
Q96EY7	P0C0S5	0
Q96AX1	P49642	0
P42695	Q6P9B9	0
Q9GZS1	Q9BTC8	0
Q9H9A5	Q92974	0
Q9NUL7	P26572	0
Q6IEG0	P41223	0
Q86YF9	P05412	0
Q8TDW0	P26006	0
Q14011	Q00839	0
Q06330	P62987	0
Q96LT9	O43172	0
P35251	Q96LT9	0
Q9NS73	P78537	0
P16989	Q6P161	0
Q13367	O75051	0
Q9NYV4	Q96LT9	0
Q8IZH2	Q9NWB7	0
P23508	P08670	0
Q9BYD2	P62266	0
O95402	O14617	0
Q9UBW7	Q96EY7	0
Q15836	Q9H0H0	0
P28370	O95707	0
Q9H0U6	P62424	0
Q9Y4Y9	P08621	0
Q9NP66	Q02153	0
P52630	Q07954	0
Q69YN4	O15111	0
Q12933	P61513	0
P04049	Q8WVB6	0
Q13418	P14373	0
P62805	Q15047	0
P02647	P62917	0
O94906	O75052	0
Q96PV6	Q9H7D7	0
Q96Q15	Q68E01	0
P15880	Q9H0U6	0
Q03111	P23025	0
P24385	Q8IUR0	0
Q9UJC3	P51948	0
P61247	Q15022	0
Q9GZP9	Q9Y5R8	0
O75175	Q15022	0
P62851	O43390	0
P38159	P09234	0
P78364	Q6P4R8	0
O60306	O94887	0
Q92889	O60271	0
P62979	Q8N8D1	0
Q9UHA3	P62081	0
O95347	P41252	0
P62244	P52597	0
Q9NUL7	Q96DF8	0
Q9ULK5	Q14186	0
Q92993	Q9Y618	0
Q13153	P47756	0
Q96CW5	P50613	0
Q86XI2	Q02750	0
P20226	Q8TAM1	0
P62701	Q86TS9	0
P61244	Q9HCK8	0
Q07912	Q8WUW1	0
Q96EY7	P03915	0
Q9H4L4	P61353	0
Q96JG6	Q14839	0
Q15393	Q13596	0
Q13888	O00429	0
Q96JG6	Q8NHH9	0
Q9H0H0	Q9UII2	0
Q9NZW5	Q01970	0
Q8TCX1	Q13393	0
Q9BYD1	Q13435	0
Q9BZK7	Q9UBB5	0
Q9NZW5	Q7Z4H7	0
P51955	O14763	0
Q14137	Q14974	0
P55060	Q99570	0
P67809	Q96A35	0
Q15788	Q04721	0
Q9NWU2	P84098	0
Q99832	P24385	0
P61073	O60313	0
O43303	O15446	0
Q15022	O00268	0
O15360	Q92797	0
Q9BYC9	Q9UBV2	0
Q16540	Q14498	0
P08708	P07910	0
P27348	Q13009	0
O95793	P52597	0
P62750	Q9BZE1	0
O95298	Q8IUR0	0
Q16254	Q7Z494	0
Q9BRD0	Q9P0U4	0
Q9BUL9	Q15572	0
O95835	Q6QNY0	0
Q7RTN6	P25445	0
P62244	Q13405	0
P12931	Q9NPJ6	0
Q9Y4A5	O94763	0
Q14137	Q8TAM1	0
Q96CS2	O43739	0
Q9NZJ0	P49368	0
O60563	Q15573	0
Q14573	P07384	0
Q9UL15	Q6R327	0
Q9BUL9	Q9HAU5	0
Q07864	Q8N3Y1	0
Q5TKA1	P35269	0
Q15572	Q16630	0
P61353	Q9Y4B6	0
Q9Y6D9	Q6P1X5	0
O15287	Q99871	0
O43303	Q8TEQ6	0
Q96CS2	O75478	0
Q9NS69	Q9UHI6	0
Q92993	Q9NS73	0
Q13557	Q9BUR4	0
Q9BZD4	Q07864	0
Q9Y265	Q15054	0
O14744	O43290	0
P46777	Q9BZE1	0
Q9Y375	Q9HBM1	0
Q96ST3	Q5TKA1	0
Q15751	Q9BYC9	0
Q9UIG0	Q9H7Z6	0
Q9GZP9	O14983	0
P09001	Q9BXP5	0
Q92878	O60282	0
P62979	Q8IZL8	0
O75530	Q96PV6	0
Q9BZE1	O43464	0
P42766	Q8TBF4	0
Q8N3U4	Q13415	0
Q9H270	P62834	0
Q96JG6	Q9UHI6	0
Q9NQ50	Q7L2E3	0
Q13393	Q14160	0
Q14137	Q6IBW4	0
Q12769	Q96DZ1	0
Q15599	Q13153	0
Q9Y5B6	Q9GZL7	0
P01112	P84098	0
P27635	Q92888	0
Q9UL03	O14983	0
O60244	Q9HB75	0
P42575	Q86YV9	0
Q9H4L4	Q9NQB0	0
P0C0S5	Q9H981	0
Q9UMN6	Q92830	0
O75558	Q8N1B4	0
Q9NPE3	O15504	0
Q9NRR6	P20700	0
Q9BQG0	Q15572	0
Q8TAT6	Q6DD88	0
P42695	Q99570	0
Q09472	Q8N3U4	0
O15514	Q96EP0	0
Q7Z7F7	Q96I25	0
P15927	P07992	0
Q8N1B4	P57678	0
P22090	P40227	0
Q92900	P54132	0
O94927	P0DMV9	0
Q13188	Q9NX14	0
Q9H3P2	Q9BSJ2	0
P62753	Q12888	0
Q99575	Q93009	0
Q9UKG1	Q92600	0
Q99832	Q92769	0
P30154	Q13263	0
Q16514	O14910	0
Q9NR30	Q71F23	0
Q13616	Q14155	0
Q9NWB7	P78345	0
P62937	Q13618	0
Q8TCX1	Q96CW5	0
P49406	P62266	0
Q96JG6	O14980	0
O15355	P61353	0
Q7Z2W9	P26368	0
Q71F56	Q8TAM2	0
Q13438	O60885	0
Q8WVS4	Q15545	0
P40763	Q14683	0
Q92878	Q9ULM3	0
O95163	Q16795	0
O00443	Q96CB8	0
Q9UBB9	P07814	0
P05164	P02671	0
O60271	P63027	0
P23396	O95793	0
P20339	Q9UI09	0
O94763	Q92990	0
Q9UJC3	Q99871	0
Q9H9A5	Q13671	0
Q9NZN8	Q99871	0
P62995	P16989	0
Q8WYA6	P36578	0
P02792	P20226	0
O95639	P49756	0
Q9Y375	Q8IWT6	0
Q14839	Q9UBQ5	0
Q96EY7	Q13188	0
P48643	P0DMV9	0
P54257	Q9P253	0
Q8IZP0	Q9NS73	0
P49643	O43318	0
A5YKK6	Q16594	0
O00566	Q14566	0
Q9NX20	Q96GD4	0
O60313	Q8IWZ6	0
Q15637	Q9UNE7	0
Q9Y2Q5	P30260	0
Q96LT9	Q9UHI6	0
O75818	Q9BRD0	0
P42766	P49643	0
P00395	O95169	0
Q09472	P46940	0
Q9GZX5	Q13263	0
P40337	Q15047	0
P42704	Q9NX20	0
Q9ULR0	Q13576	0
O75818	Q71F23	0
Q13472	Q9H2W6	0
P35226	O75317	0
Q8TAA9	Q96EZ8	0
Q9H490	Q08722	0
Q96N67	Q96ED9	0
Q13042	O75376	0
Q15573	Q9UER7	0
Q99832	Q9UPN9	0
Q9ULM6	Q13576	0
O60264	Q9HCE1	0
O15042	Q14839	0
O60264	O14776	0
P07437	P55060	0
Q8TEQ6	Q13535	0
Q96AX1	Q00534	0
Q92542	Q15054	0
P08708	O75400	0
Q96HW7	Q9NWR8	0
Q9UL03	O60563	0
O00203	Q03111	0
P07910	P46776	0
O15392	Q96CS2	0
Q96ES7	Q14155	0
O94927	Q01970	0
P49406	Q13769	0
Q15025	O75385	0
Q13243	P05386	0
Q13617	Q6R327	0
Q9BYD2	P26368	0
P22681	Q04864	0
Q9Y6K9	P07910	0
Q07157	Q12824	0
P61803	Q8WUH2	0
Q9NZN8	Q9H7L9	0
Q9H0U6	P61313	0
P12931	P35637	0
Q5HYA8	P37088	0
P01137	P98161	0
Q13393	Q9NPF5	0
O95071	Q99871	0
Q07020	Q13247	0
O43395	Q7L2E3	0
Q9BUL9	O15234	0
Q9NQB0	Q9BVC3	0
P20339	Q9Y679	0
O94927	Q13426	0
P18124	Q8IXM3	0
Q12768	Q96S52	0
Q14137	P04049	0
Q13546	Q9H269	0
Q96CW1	O60282	0
Q15628	O75146	0
Q92989	Q16254	0
Q15393	P25445	0
Q9UPN9	P50570	0
Q96H22	P16104	0
O60563	Q12955	0
Q8WWI1	Q7KZ85	0
O75886	Q15545	0
Q9H0F6	Q9Y6K9	0
Q96HW7	Q96T37	0
O43920	Q9Y230	0
P01009	P51159	0
Q96QK1	Q04727	0
Q02539	Q15427	0
Q9BRJ2	Q9Y6M9	0
Q6P4R8	P35916	0
P40763	Q04206	0
P49768	P03928	0
Q13546	O94927	0
Q7Z3B3	Q9ULM3	0
Q9NVC6	P36954	0
Q8TEX9	P05388	0
P28340	Q99570	0
Q6P2C8	O14974	0
P62841	Q9HCS7	0
P51003	Q15836	0
Q16585	Q9UII2	0
P98170	O43678	0
P08238	P30154	0
Q9ULM6	P29374	0
Q9BRV8	P29590	0
P30291	P55196	0
O95347	Q9NZ08	0
Q14573	Q99871	0
O95793	Q9ULG1	0
Q6R327	Q6P1X5	0
P62888	Q9P0U4	0
Q5H9R7	P46199	0
Q7Z6J9	Q9NR30	0
P36578	Q9BRD0	0
O75146	Q9Y3D6	0
P05387	P84103	0
O95835	Q9BU64	0
P78347	Q9HCS7	0
Q96ES7	O15360	0
Q9UJX3	Q9NRA8	0
P62906	Q96G21	0
Q8TDY2	O95613	0
O43739	P51587	0
Q9UL03	Q13009	0
P06241	Q07157	0
Q9Y232	Q92830	0
Q12874	Q13309	0
Q9H490	P50281	0
P78347	P48382	0
Q8IZH2	P08865	0
Q08211	Q01844	0
Q9BRJ2	P62269	0
Q96G21	Q9UBN7	0
O60921	P52948	0
Q00987	P62424	0
Q6NSJ5	Q2M389	0
Q9Y6D9	Q9NXB0	0
P52435	Q96RN5	0
Q8IVT5	O14920	0
Q8TBF4	P78345	0
P68104	P02671	0
Q13574	Q5T2T1	0
Q08209	Q8IZH2	0
Q9NP66	Q92993	0
Q8IVT5	Q9P253	0
O60508	Q9UDW3	0
Q9UQ90	P30154	0
Q13084	P62701	0
Q13557	P21675	0
Q8TAA9	Q6P1X5	0
P46777	Q8IYB3	0
Q9UG01	Q9Y5P8	0
Q9BZE1	Q13523	0
P21926	P50570	0
Q08379	Q3SYG4	0
P16234	Q09328	0
P10244	Q16254	0
P09001	Q13573	0
P62917	Q9H2W6	0
O00443	Q15329	0
Q9Y232	O15355	0
O75400	O96017	0
Q15831	Q6PI98	0
P63151	P11142	0
P83111	O60216	0
O00566	P46199	0
O95817	Q9BXC9	0
Q8N3P4	O95602	0
P09001	O15355	0
Q13153	Q02750	0
Q8WXE1	Q99871	0
Q16543	Q15831	0
Q9UJY1	Q9HCS7	0
Q6NSJ5	Q16585	0
Q96A35	Q9BXP5	0
P40938	Q68E01	0
Q969R8	P55196	0
Q6R327	Q9NS73	0
Q96S59	Q9NX20	0
Q9HCE1	O95707	0
Q5T653	Q15696	0
Q8TBF4	P0C0S5	0
Q09161	P62917	0
P40938	Q969N2	0
Q86XI2	P35221	0
Q05195	Q92993	0
Q13042	P51955	0
Q14258	Q9NPF5	0
Q9H269	Q9UKZ1	0
Q9NSA3	P08670	0
P47897	Q86TM6	0
P16989	Q00839	0
P47897	Q9UHI6	0
Q9P0J6	O75161	0
Q9UMN6	O15392	0
Q9BXC9	O95613	0
Q92618	P62829	0
Q9Y6K9	Q9H7Z6	0
P67775	Q9NSA3	0
Q92766	Q9NYJ8	0
Q96I36	Q9BY67	0
Q9NRA8	Q9BZK7	0
Q8IYU8	P62834	0
O43303	Q86YV9	0
Q9P015	P62917	0
P62269	Q9UIG0	0
O75394	P40429	0
Q6WCQ1	Q9H9Y6	0
Q9UI95	Q75QN2	0
Q8TAA9	Q92922	0
P62861	P26368	0
Q92974	Q7Z4H7	0
P51955	Q8TEW0	0
Q9BZJ0	O95059	0
Q8TCX1	Q92990	0
P40938	Q969F9	0
Q15459	O43676	0
P49815	Q8N612	0
O60832	P46776	0
Q9BT25	Q16533	0
Q92542	Q9H490	0
Q9UKM9	O60832	0
Q9Y2Q5	P49642	0
P62714	Q9UL46	0
O43524	O75317	0
Q9BYC9	Q8NFJ9	0
O00471	Q96MW5	0
Q86XI2	Q15797	0
Q8TEQ6	P06493	0
P15880	Q96KQ7	0
Q9Y6K9	Q8WVB6	0
Q9H9A5	Q9H8E8	0
Q68EM7	P40227	0
Q6VMQ6	Q93009	0
P40227	Q04726	0
Q96N67	Q96QC0	0
Q9H269	Q68E01	0
P41223	Q9Y2J2	0
Q13563	P56385	0
O14744	Q9UQ35	0
Q9Y618	Q8NBT2	0
P43243	Q92966	0
O00505	P07203	0
P06241	P50570	0
Q9GZS1	P51532	0
Q9HCS7	Q969U7	0
Q9Y4A5	Q8WVM7	0
Q15751	Q2M389	0
Q8N5G0	O15120	0
Q92620	Q9H9F9	0
Q8N3U4	O43463	0
Q86XI2	Q9Y232	0
Q9H4L4	Q9H4B6	0
O95071	O60462	0
Q14160	P08670	0
O14593	Q92797	0
Q92529	Q04864	0
Q9BU64	P36578	0
Q13084	Q9BXP5	0
Q9BUL9	Q02878	0
Q9UHI6	Q9UNE7	0
Q9BQQ3	Q8TDR0	0
Q96CS2	Q6R327	0
Q8WYA6	Q9NZE8	0
O75923	P00739	0
Q9BVC4	Q9BSJ2	0
Q13243	Q9UKB1	0
P25445	Q9NPI6	0
Q6P9B9	Q9UID3	0
P62269	Q9H0U6	0
P46531	Q9H7D7	0
Q8TAM1	Q3SYG4	0
P02792	Q8TAA9	0
P36507	P78395	0
O00566	P52597	0
O43299	Q75QN2	0
Q13683	P19838	0
O14974	O95983	0
P11021	O43464	0
Q9NPF5	Q13228	0
Q8WUQ7	Q6P1X5	0
Q96CW1	Q9Y2J2	0
Q9Y2W2	P51608	0
Q9P0M9	Q9GZL7	0
P62910	Q9NPE3	0
Q13247	Q6P1X5	0
Q5HYA8	Q13683	0
O95782	O95271	0
Q86YV9	Q9H944	0
Q969U7	P62318	0
P15884	P14373	0
Q15084	O14910	0
P62995	P38159	0
Q13596	O75717	0
Q13435	P49406	0
Q969G3	Q9BT25	0
O15504	Q9BYD6	0
Q9NX70	O95251	0
Q15751	P46777	0
Q13683	Q9H7D7	0
Q13393	Q6QNY1	0
P61247	Q9NZE8	0
O96017	Q9Y385	0
Q9P253	O95602	0
O14929	P09874	0
P0C0S5	Q9H0U6	0
P62249	Q92900	0
P48382	Q92797	0
Q9NS73	O94776	0
Q9Y385	Q9Y2A7	0
Q93034	P35222	0
Q13243	Q9H9F9	0
Q92766	P17987	0
Q96EZ8	O14662	0
Q9H7D7	O95182	0
Q14155	P19022	0
Q8IX03	O96007	0
P62263	P16104	0
Q9NPJ6	Q53T94	0
P09001	P40429	0
Q99459	P46782	0
Q02539	P08865	0
P20339	Q96T37	0
P38919	P62487	0
Q71SY5	P62487	0
Q13131	Q9UII2	0
P46781	P54198	0
Q7RTN6	Q9Y2T2	0
Q96T58	Q9ULK5	0
Q9NZN8	Q15542	0
Q07955	Q99575	0
P35251	O60231	0
Q9UI95	Q9UID3	0
Q9NSA3	P02751	0
Q9NXR7	Q16630	0
Q2M389	Q15526	0
O00203	O15078	0
Q9Y3R0	Q8WUI4	0
Q09472	Q04727	0
Q9Y6K9	Q9UII2	0
Q07157	Q08209	0
O75436	Q8WYA6	0
P36507	Q2M389	0
Q9UJC3	Q71U36	0
O75306	Q9UQ90	0
Q9BYD2	P62906	0
Q9H3P2	P13612	0
Q96N67	Q12965	0
Q07157	Q71U36	0
Q9GZY4	A8K8P3	0
O60244	Q16594	0
Q96GC5	P56556	0
Q9BRV8	P63151	0
Q09161	Q96DV4	0
Q9UL15	O00203	0
Q96B97	Q00534	0
Q8N1B4	Q86XI2	0
Q9HCG8	Q15477	0
Q9NZE8	P62917	0
P28482	P54652	0
Q9UDW3	Q9Y4Z0	0
O43181	P51151	0
P39023	Q93009	0
Q9UQM7	Q86US8	0
Q8TAG9	Q9GZP9	0
P61247	Q9HD33	0
Q9BPX6	Q9P2K3	0
P61981	O95835	0
Q99832	Q9UBB5	0
Q03468	Q13112	0
O43524	Q8WUI4	0
Q5XPI4	Q00987	0
P56545	P29374	0
Q9UIW2	P50570	0
Q9UG01	P46531	0
Q07157	P38398	0
Q4U2R6	Q9Y4B6	0
P62899	Q12849	0
Q9ULK5	Q9GZS1	0
Q9BZK7	O43676	0
Q16629	Q8IXM3	0
Q96ES7	Q9Y4E1	0
P08865	Q9UQ35	0
Q96N67	P26196	0
Q8IY31	Q9NRI5	0
P39019	Q99575	0
Q9BYD2	Q8IYB3	0
Q4U2R6	Q96DF8	0
Q15047	Q9Y4E1	0
Q9UNH7	P36507	0
Q13616	Q15022	0
O95169	Q13472	0
Q13049	Q6VMQ6	0
Q9UBB9	Q9NWB7	0
Q13243	Q9NZE8	0
Q13243	Q99575	0
Q9NXX6	Q15075	0
P84103	Q13084	0
O15550	Q9P2W1	0
Q5T653	P49356	0
P46782	Q9Y5B6	0
Q96H22	Q96DV4	0
Q8TBF4	O95400	0
O15379	Q2M389	0
O14936	Q5T2T1	0
